pid,name,country_of_origin
724,Cabbage - Savoy,Norway
725,"Wine - White, French Cross",China
726,Onions - Green,Indonesia
727,Sauce - Plum,Peru
728,Creme De Cacao Mcguines,China
729,Basil - Seedlings Cookstown,Brazil
730,Beer - True North Lager,Portugal
731,Mint - Fresh,Philippines
732,Fudge - Cream Fudge,Iran
733,Wine - Chardonnay Mondavi,El Salvador
734,Orange - Blood,China
735,Bulgar,China
736,Island Oasis - Raspberry,Canada
737,"Pasta - Orzo, Dry",France
738,Cranberries - Dry,France
739,Wine - Soave Folonari,Argentina
740,Wine - Port Late Bottled Vintage,Poland
741,"Pasta - Lasagna Noodle, Frozen",China
742,"Capon - Breast, Wing On",Mexico
743,Broom Handle,Netherlands
744,Pectin,Ukraine
745,Egg Patty Fried,Portugal
746,Wine - Cotes Du Rhone Parallele,China
747,Jolt Cola,South Korea
748,Milk - 2%,China
749,Wine - Pinot Noir Latour,Argentina
750,Wine - Trimbach Pinot Blanc,Thailand
751,Flour - Fast / Rapid,Indonesia
752,Wine - Chablis 2003 Champs,China
753,"Nut - Almond, Blanched, Ground",Indonesia
754,Wine - Merlot Vina Carmen,Poland
755,Scallops - U - 10,China
756,Maintenance Removal Charge,China
757,Calypso - Pineapple Passion,Philippines
758,Shiratamako - Rice Flour,United States
759,"Veal - Inside, Choice",Burundi
760,"Wine - Red, Mosaic Zweigelt",China
761,General Purpose Trigger,Czech Republic
762,Tia Maria,Thailand
763,Sauce - Hp,China
764,Milk - 1%,Philippines
765,Amaretto,Greece
766,Wine - Hardys Bankside Shiraz,United States
767,Muffin Batt - Choc Chk,China
768,Wine - Sake,Canada
769,"Pepper - Chillies, Crushed",Spain
770,Lettuce - Red Leaf,Brazil
771,Irish Cream - Baileys,Zambia
772,"Beef - Ground, Extra Lean, Fresh",United Kingdom
773,Table Cloth 54x54 Colour,Panama
774,"Seedlings - Buckwheat, Organic",China
775,Curry Paste - Madras,Thailand
776,Ecolab - Lime - A - Way 4/4 L,Czech Republic
777,Chevril,Peru
778,"Extract - Vanilla,artificial",Ukraine
779,Sea Bass - Whole,China
780,"Turkey - Breast, Boneless Sk On",Czech Republic
781,Wine - Spumante Bambino White,Taiwan
782,Broom And Broom Rack White,Indonesia
783,"Pasta - Shells, Medium, Dry",Indonesia
784,Icecream Cone - Areo Chocolate,China
785,"Juice - Tomato, 48 Oz",Mexico
786,Beer - Moosehead,Portugal
787,Lettuce - Baby Salad Greens,Democratic Republic of the Congo
788,Fiddlehead - Frozen,Japan
789,Clementine,Russia
790,Bols Melon Liqueur,China
791,"Nut - Pine Nuts, Whole",Mauritania
792,Mushroom - Crimini,Uganda
793,The Pop Shoppe - Root Beer,China
794,Pumpkin,Argentina
795,Cabbage - Nappa,Malaysia
796,"Tuna - Canned, Flaked, Light",Panama
797,Kellogs All Bran Bars,Canada
798,Chocolate - Compound Coating,Venezuela
799,Cheese - Goat With Herbs,Zimbabwe
800,"Bread - Pullman, Sliced",Venezuela
801,"Stock - Veal, Brown",Mexico
802,Turkey - Oven Roast Breast,Indonesia
803,Lettuce - Treviso,China
804,Gherkin,Netherlands
805,Melon - Honey Dew,France
806,Bouillion - Fish,Greece
807,Silicone Parch. 16.3x24.3,Colombia
808,Rice - Basmati,Brazil
809,"Fish - Soup Base, Bouillon",Nicaragua
810,Pastrami,China
811,"Nut - Pecan, Halves",Luxembourg
812,Cheese - Le Cru Du Clocher,Ukraine
813,"Bread - White, Sliced",Indonesia
814,Kale - Red,Greece
815,Trueblue - Blueberry 12x473ml,Serbia
816,Fruit Mix - Light,Indonesia
817,"Shrimp - 16/20, Peeled Deviened",Sweden
818,Salmon Steak - Cohoe 6 Oz,Mexico
819,Calypso - Black Cherry Lemonade,Canada
820,Veal - Leg,Tanzania
821,Venison - Ground,China
822,Muffin - Mix - Mango Sour Cherry,Greece
823,"Extract - Vanilla,artificial",Colombia
824,Soup - Campbells - Tomato,Slovenia
825,"Yogurt - Banana, 175 Gr",China
826,Carbonated Water - Peach,Indonesia
827,Muffin Mix - Corn Harvest,Argentina
828,Sugar - Cubes,Brazil
829,Beef Striploin Aaa,Norway
830,Bay Leaf Ground,China
831,Soup Bowl Clear 8oz92008,Finland
832,"Marjoram - Dried, Rubbed",Germany
833,Liners - Baking Cups,Syria
834,"Pasta - Cappellini, Dry",Peru
835,Taro Root,Saint Lucia
836,"Arctic Char - Fresh, Whole",Poland
837,Bagelers,China
838,Oranges,China
839,Icecream Cone - Areo Chocolate,Slovenia
840,Coriander - Ground,Brazil
841,Beef - Top Butt Aaa,China
842,Chick Peas - Canned,Ireland
843,Scallops 60/80 Iqf,Indonesia
844,Pepper - Roasted Red,Ukraine
845,Wine - Jafflin Bourgongone,China
846,Pastry - Mini French Pastries,Colombia
847,Ecolab - Ster Bac,France
848,Coconut - Whole,Haiti
849,Pickles - Gherkins,Japan
850,Noodles - Steamed Chow Mein,Czech Republic
851,"Chilli Paste, Sambal Oelek",Costa Rica
852,Celery,United States
853,"Octopus - Baby, Cleaned",China
854,"Shrimp, Dried, Small / Lb",Nigeria
855,Wine - Jafflin Bourgongone,China
856,"Oranges - Navel, 72",Portugal
857,Yoplait Drink,Peru
858,Longos - Cheese Tortellini,China
859,Chicken Thigh - Bone Out,Cuba
860,Cheese - Cambozola,Mexico
861,Wiberg Cure,China
862,Vegetable - Base,Japan
863,Lobster - Base,Sri Lanka
864,Soup Campbells Turkey Veg.,Venezuela
865,"Red Snapper - Fillet, Skin On",Peru
866,"Pork - Ham, Virginia",Saudi Arabia
867,Soho Lychee Liqueur,Guatemala
868,Cheese - Comte,Ukraine
869,Appetizer - Veg Assortment,Haiti
870,Wine - Fontanafredda Barolo,Portugal
871,"Oil - Olive, Extra Virgin",Sudan
872,French Pastry - Mini Chocolate,Philippines
873,Cheese - Mascarpone,Portugal
874,Onions - Cippolini,Sweden
875,Pear - Prickly,Brazil
876,Chocolate Bar - Smarties,Zimbabwe
877,"Crab - Blue, Frozen",Indonesia
878,"Chilli Paste, Sambal Oelek",Indonesia
879,Flour - Teff,Philippines
880,"Sauce - Gravy, Au Jus, Mix",Russia
881,"Pork - Chop, Frenched",Zimbabwe
882,Tea - Lemon Green Tea,Syria
883,Roe - Flying Fish,Togo
884,Vinegar - Raspberry,Brazil
885,Bread Fig And Almond,Haiti
886,Spice - Greek 1 Step,Ukraine
887,Clementine,Indonesia
888,Lime Cordial - Roses,Philippines
889,Catfish - Fillets,China
890,"Shrimp - Baby, Cold Water",Portugal
891,White Baguette,Russia
892,Wine - Ruffino Chianti Classico,Syria
893,Oil - Hazelnut,Philippines
894,Coriander - Ground,Indonesia
895,Cake - Box Window 10x10x2.5,Czech Republic
896,Sugar - Icing,Iran
897,Crackers - Trio,Greece
898,Tobasco Sauce,Indonesia
899,Puree - Strawberry,China
900,Cheese - Le Cheve Noir,France
901,Ecolab - Power Fusion,Russia
902,Lobak,Czech Republic
903,Muffin Mix - Corn Harvest,Brazil
904,"Bread - Bagels, Mini",Bangladesh
905,Scallops - Live In Shell,Greece
906,Cheese - Shred Cheddar / Mozza,Ukraine
907,"Wine - Red, Pinot Noir, Chateau",Philippines
908,"Pasta - Shells, Medium, Dry",Afghanistan
909,Oxtail - Cut,New Zealand
910,Wine - Maipo Valle Cabernet,Ukraine
911,"Beer - Alexander Kieths, Pale Ale",Czech Republic
912,Shichimi Togarashi Peppeers,Sweden
913,Flax Seed,Russia
914,"Lentils - Green, Dry",Brazil
915,Glass Clear 8 Oz,Syria
916,Peppercorns - Pink,Belarus
917,Snapple Lemon Tea,Russia
918,Soup - Campbells Mac N Cheese,France
919,Flour - All Purpose,China
920,Transfer Sheets,Ukraine
921,Wine - Placido Pinot Grigo,Argentina
922,Anchovy Paste - 56 G Tube,France
923,Flour - Masa De Harina Mexican,Slovenia
924,"Beans - Fava, Canned",Indonesia
925,"Juice - Apple, 341 Ml",China
926,Raspberries - Fresh,Argentina
927,Shrimp - Black Tiger 13/15,Germany
928,Oil - Sesame,Poland
929,Parsley - Dried,Poland
930,Carrots - Jumbo,France
931,Blackberries,China
932,Towels - Paper / Kraft,France
933,"Veal - Insides, Grains",Venezuela
934,"Stock - Veal, Brown",Nigeria
935,Soup Knorr Chili With Beans,Canada
936,Wine - Casillero Del Diablo,Thailand
937,Sauce - Hp,Russia
938,Syrup - Chocolate,Portugal
939,Shrimp - Black Tiger 13/15,Indonesia
940,Cake Sheet Combo Party Pack,Ukraine
941,Spinach - Baby,China
942,Muffin Batt - Ban Dream Zero,Malta
943,Island Oasis - Lemonade,Russia
944,Tilapia - Fillets,Brazil
945,Cheese - Taleggio D.o.p.,Argentina
946,"Stock - Chicken, White",Portugal
947,Flower - Daisies,Indonesia
948,Yogurt - Assorted Pack,Afghanistan
949,Coconut Milk - Unsweetened,Indonesia
950,"Chicken - Leg, Fresh",France
951,Oil - Shortening - All - Purpose,Afghanistan
952,Chips - Miss Vickies,Indonesia
953,Chervil - Fresh,Poland
954,Beer - Fruli,Ivory Coast
955,Wine - Semi Dry Riesling Vineland,Mexico
956,Ecolab - Power Fusion,Indonesia
957,"Flour - Buckwheat, Dark",Indonesia
958,Cheese - La Sauvagine,Zambia
959,Sauce - Plum,Ukraine
960,Sage Derby,Brazil
961,Wine - Touraine Azay - Le - Rideau,China
962,Maple Syrup,China
963,Pepper - Jalapeno,Namibia
964,Bag Stand,Russia
965,Zucchini - Yellow,Thailand
966,Cheese - Mozzarella,Philippines
967,Jam - Raspberry,Mauritania
968,"Crab - Blue, Frozen",United States
969,Mix Pina Colada,Ukraine
970,Appetizer - Cheese Bites,Norway
971,Cheese Cheddar Processed,Russia
972,Pomello,Bosnia and Herzegovina
973,Beer - Pilsner Urquell,Poland
974,Potatoes - Mini Red,Philippines
975,French Pastry - Mini Chocolate,Nigeria
976,"Mushroom - Porcini, Dry",China
977,Wine - Gewurztraminer Pierre,Bulgaria
978,"Yogurt - Cherry, 175 Gr",Portugal
979,Cloves - Whole,Colombia
980,Sausage - Andouille,Russia
981,Onions - Pearl,Russia
982,Bay Leaf Fresh,Ukraine
983,Beef Tenderloin Aaa,Ukraine
984,Crackers - Soda / Saltins,Russia
985,Shopper Bag - S - 4,Philippines
986,Fuji Apples,Ukraine
987,Tarts Assorted,Russia
988,Duck - Whole,Switzerland
989,Spinach - Spinach Leaf,Poland
990,Table Cloth 54x54 Colour,Czech Republic
991,Bread - Wheat Baguette,Greece
992,"Mushroom - Enoki, Dry",Indonesia
993,"Pasta - Detalini, White, Fresh",China
994,Chickensplit Half,Nepal
995,Vinegar - Balsamic,Colombia
996,Fork - Plastic,Paraguay
997,Isomalt,Serbia
998,"Chicken - Leg, Boneless",Niger
999,Pastrami,Argentina
1000,Salmon - Fillets,China
